                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3622,                 1.2702,                 1.6278,                0.71036,                0.53596,                0.66951,                0.46363,                 1.1303,                0.97081,                 1.5442,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.3532,                 1.2722,                 1.6779,                0.72417,                0.51917,                0.66915,                0.46416,                 1.1236,                0.94615,                 1.5353,               0.000109,               0.000109,               0.000109
                     92,                 1.2956,                 1.1786,                 1.5997,                0.73079,                 0.5151,                0.66168,                0.45215,                 1.1372,                0.95161,                 1.5394,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.2802,                 1.1414,                  1.597,                0.71348,                0.53778,                0.66801,                0.46222,                 1.1156,                0.94409,                 1.5281,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.2535,                 1.1327,                 1.5706,                0.72549,                0.55082,                0.67341,                0.46697,                 1.0979,                0.93064,                 1.5123,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.2555,                 1.1512,                  1.593,                0.72015,                0.55375,                0.67628,                0.47115,                 1.0861,                0.91563,                 1.5034,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.2544,                 1.1352,                  1.575,                0.73792,                0.54982,                0.67931,                0.47838,                 1.0667,                0.89864,                 1.4912,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.2333,                 1.0902,                 1.5749,                0.74476,                0.54127,                0.67971,                0.48282,                 1.0585,                0.88499,                 1.4887,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                  1.229,                 1.0836,                 1.5651,                0.73936,                 0.5522,                0.68065,                0.49068,                 1.0479,                0.87932,                 1.4806,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.2477,                 1.1176,                 1.5556,                0.74071,                 0.5463,                0.68297,                0.49192,                 1.0457,                0.87773,                 1.4789,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.2045,                 1.0876,                 1.5712,                0.72941,                0.56953,                0.68637,                0.48727,                 1.0432,                 0.8739,                 1.4737,               1.99e-05,               1.99e-05,               1.99e-05
